_Composite_Pipe_Results_
	Input parameters:
Hot side temperature:
T1 =	110.000	deg C
Cold side temperature:
T2 =	30.000	deg C

Pipe length:
L =	1.000	m

Inner radius:
r_1 =	0.050	m

Thermal conductivity of layer 1:
k_1 =	400.000	W/m.K
Outer radius of layer 1:
r_2 =	0.060	m

Layer 1 resistance to heat transfer:
R_2 =	0.000	K/W

Thermal conductivity of layer 2:
k_2 =	75.000	W/m.K
Outer radius of layer 2:
r_3 =	0.090	m

Layer 2 resistance to heat transfer:
R_3 =	0.001	K/W

Thermal conductivity of layer 3:
k_3 =	0.500	W/m.K
Outer radius of layer 3:
r_4 =	0.150	m

Layer 3 resistance to heat transfer:
R_4 =	0.163	K/W

	Intermediate parameters:
Rate of heat transfer:
Q =	489.195	W

	Output parameters:
k (W/m.K)	h (W/m2.K)	r (mm)	T (deg C)
		135.36000	45.99160
		135.60000	45.71576
		135.84000	45.44040
		136.08000	45.16552
		136.32000	44.89113
		136.56000	44.61723
		136.80000	44.34380
		137.04000	44.07086
		137.28000	43.79839
		137.52000	43.52639
		137.76000	43.25488
		138.00000	42.98383
		138.24000	42.71326
		138.48000	42.44315
		138.72000	42.17351
		138.96000	41.90434
		139.20000	41.63563
		139.44000	41.36739
		139.68000	41.09961
		139.92000	40.83228
		140.16000	40.56542
		140.40000	40.29901
		140.64000	40.03306
		140.88000	39.76756
		141.12000	39.50251
		141.36000	39.23791
		141.60000	38.97376
		141.84000	38.71006
		142.08000	38.44680
		142.32000	38.18399
		142.56000	37.92162
		142.80000	37.65970
		143.04000	37.39821
		143.28000	37.13716
		143.52000	36.87655
		143.76000	36.61637
		144.00000	36.35663
		144.24000	36.09732
		144.48000	35.83844
		144.72000	35.57999
		144.96000	35.32197
		145.20000	35.06437
		145.44000	34.80720
		145.68000	34.55046
		145.92000	34.29414
		146.16000	34.03824
		146.40000	33.78275
		146.64000	33.52769
		146.88000	33.27305
		147.12000	33.01882
		147.36000	32.76500
		147.60000	32.51160
		147.84000	32.25861
		148.08000	32.00603
		148.32000	31.75386
		148.56000	31.50209
		148.80000	31.25074
		149.04000	30.99978
		149.28000	30.74924
		149.52000	30.49909
		149.76000	30.24934
		150.00000	30.00000
